stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1277,1277,Primat Reig - Ministre Luis Mayans,,4374428.486625,726090.998125,,,0,
1278,1278,Àngel Guimerà - Ferran el Catòlic,,4372240.37925,724988.295875,,,0,
128,128,Blasco Ibáñez - Músic Ginés,,4372545.14025,728561.20975,,,0,
1280,1280,Pintor Jacomart - Alcanyís,,4375091.895875,725305.758375,,,0,
1282,1282,Universitats - Facultat de Ciències Socials,,4373344.829125,728302.128375,,,0,
1283,1283,Ramon Llull - Campus Tarongers,,4373343.4035,728329.928125,,,0,
1289,1289,Vicent Puchol (imparell) - Centre de Salut,,4367583.73075,726895.573625,,,0,
129,129,Blasco Ibáñez - Enginyer Rafael Janini,,4372466.292,728791.331125,,,0,
1290,1290,Vicent Puchol (parell) - Centre de Salut,,4367617.017,726891.64,,,0,
1295,1295,Mestre Rodrigo - Marqués de Sant Joan,,4372986.19875,723859.730375,,,0,
1296,1296,Marqués de Sant Joan - Campanar,,4373141.145625,724037.18725,,,0,
1298,1298,Espinosa - Guillem de Castro,,4372436.551,724992.019,,,0,
13,13,Doctor Lluch - Vicent Guillot,,4372730.099,729892.993,,,0,
1305,1305,Guillem de Castro - Na Jordana,,4373441.91375,725254.046125,,,0,
1306,1306,Pont de les Drassanes - Terminal marítima,,4370675.9735,729728.935625,,,0,
1307,1307,Tres Creus - Llombai,,4371549.40625,723210.209625,,,0,
1310,1310,Manuel Carboneres - Sant Francesc de Paula,,4369670.254375,729673.85675,,,0,
1311,1311,Pare Ferris (imparell) - Gregori Gea,,4373652.10825,724910.91125,,,0,
1318,1318,Molinell (parell) - Alboraia,,4373902.961625,726231.701875,,,0,
1319,1319,Corts Valencianes - Palau de Congressos,,4374842.875,723424.691875,,,0,
1320,1320,Camp de Túria (parell) - Corts Valencianes,,4374852.347,723234.059,,,0,
1321,1321,Camp de Túria (imparell) - Corts Valencianes,,4374810.841125,723264.839875,,,0,
1326,1326,Ciutat de l'Artista Faller,,4375569.3055,724136.356875,,,0,
1329,1329,Palmaret - Moncada,,4377490.789,724678.554,,,0,
1330,1330,Quartell - Metro Florista,,4375007.324,723795.225,,,0,
1331,1331,Florista - Carrasqueta,,4374816.94575,723929.618,,,0,
1332,1332,Florista - Metro Garbí,,4374607.35925,724113.4915,,,0,
1333,1333,Bon Recés - Florista,,4374447.727,724241.217,,,0,
1348,1348,Doctor Nicasi Benlloch - Emili Nadal,,4374279.18225,724276.737125,,,0,
1349,1349,Sant Vicent Màrtir - Mossén Febrer,,4370087.314,725002.539,,,0,
135,135,Sants Just i Pastor - Humanista Furió,,4372168.7585,728398.948,,,0,
1350,1350,Sant Vicent Màrtir - Almudaina,,4370312.297,725048.289,,,0,
1352,1352,La Plata - Alberola,,4370499.020875,726364.999875,,,0,
1353,1353,La Plata - Ausiàs March,,4370368.510625,726136.64825,,,0,
1354,1354,Poliesportiu Malilla,,4370200.95375,725909.739375,,,0,
1355,1355,Oltà - Ausiàs March,,4370375.906625,725962.986625,,,0,
1356,1356,La Plata  - Fonteta de Sant Lluís,,4370334.068,726138.231,,,0,
1357,1357,Parc central de Bombers,,4370478.90525,726379.56375,,,0,
136,136,Sants Just i Pastor - Lleons,,4372236.012125,728198.03125,,,0,
1361,1361,Tarongers - Metro La Carrasca,,4373391.636375,728387.8825,,,0,
1362,1362,Tomás de Montañana - Albereda,,4371291.584125,727707.955125,,,0,
1363,1363,Regne de València (imparell) - Alcalde Reig,,4371410.5575,727027.66075,,,0,
1364,1364,Regne de València (parell) - Alcalde Reig,,4371383.687,727049.319125,,,0,
1365,1365,Tomás de Montañana - França,,4371272.115375,727732.147125,,,0,
1366,1366,La Llum,,4371948.433,722185.954,,,0,
1369,1369,Tres Creus (central) - Pare Esteban Pernet,,4371856.331,723137.814,,,0,
137,137,Sants Just i Pastor (imparell) - Metro Amistat,,4372321.486,727951.295125,,,0,
1370,1370,Pare Esteban Pernet - Misericòrdia,,4371824.3975,722824.936875,,,0,
1374,1374,Punta al Mar (parell) - Riu,,4369593.073875,728928.67,,,0,
1375,1375,Punta al Mar (parell) - Canal,,4369557.877,729152.663,,,0,
1376,1376,Camí del Canal - Guitarrista Tàrrega,,4369794.87775,729283.88675,,,0,
138,138,Centre de Salut República Argentina,,4372398.97525,727723.127375,,,0,
1380,1380,Punta al Mar (imparell) - Canal,,4369566.4635,729130.3725,,,0,
1381,1381,Punta al Mar (imparell) - Riu,,4369597.288125,728936.786375,,,0,
1382,1382,Hospital Clínic - Facultat Medicina,,4373219.922,726730.476,,,0,
1384,1384,Serradora - Poliesportiu,,4371956.636,729256.292,,,0,
1385,1385,Martí Grajales - Serradora,,4372141.570125,729303.226875,,,0,
1386,1386,Centre de Salut Serreria,,4372114.68325,729248.715625,,,0,
1387,1387,Sants Just i Pastor - Fusta,,4371933.23025,729089.9135,,,0,
139,139,Sants Just i Pastor - Lluís de Milà,,4372366.62,727766.106875,,,0,
14,14,Cavite - Riu Tajo,,4373032.2125,729952.088875,,,0,
140,140,Sants Just i Pastor (parell) - Metro Amistat,,4372271.5365,728038.24125,,,0,
1409,1409,Blasco Ibáñez - Manuela Estellés,,4372340.885,729155.957625,,,0,
141,141,Sants Just i Pastor - Peris Brell,,4372188.702625,728281.779625,,,0,
1410,1410,Guillermina Medrano (imparell) - Borbotó,,4377094.224125,724494.407125,,,0,
1411,1411,Guillermina Medrano (parell) - Borbotó,,4377092.992375,724500.186625,,,0,
1413,1413,Real de Madrid - Entrada Pinet,,4367775.311,724419.9,,,0,
1416,1416,Institut Obrer de València (imparell) - Autopista Saler,,4370695.864,727341.10525,,,0,
1417,1417,Institut Obrer de València (imparell) - Amado Granell Mesado,,4370548.709,727086.348,,,0,
1418,1418,Institut Obrer de València (parell) - Amado Granell Mesado,,4370530.784,727097.277,,,0,
1419,1419,Institut Obrer de València (parell) - Autopista Saler,,4370724.895,727423.917,,,0,
1421,1421,Petxina - Torres,,4372631.202625,723702.293375,,,0,
1422,1422,Petxina - Pérez Galdos,,4372687.480375,723910.961875,,,0,
1423,1423,Petxina - Terol,,4372853.434875,724190.7065,,,0,
1424,1424,Petxina - Ferran el Catòlic,,4372985.915125,724428.17525,,,0,
1425,1425,Petxina - Túria,,4373228.2,724908.905125,,,0,
1427,1427,Jacinto Benavente - Borriana,,4371836.3505,726874.445875,,,0,
1428,1428,Jacinto Benavente - Peris i Valero,,4371532.112,727009.924,,,0,
